INFO  | 2018-06-19 15:20:10 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410083
INFO  | 2018-06-19 15:20:10 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1529396410118, elapsed time: 35
INFO  | 2018-06-19 15:20:10 | [pool-3-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410130
INFO  | 2018-06-19 15:20:10 | [pool-4-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410138
INFO  | 2018-06-19 15:20:10 | [pool-5-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410145
INFO  | 2018-06-19 15:20:10 | [pool-6-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410154
INFO  | 2018-06-19 15:20:10 | [pool-7-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410163
INFO  | 2018-06-19 15:20:10 | [pool-7-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1529396410166, elapsed time: 3
INFO  | 2018-06-19 15:20:10 | [pool-8-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1529396410172
INFO  | 2018-06-19 15:20:10 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396410188
INFO  | 2018-06-19 15:20:10 | [pool-9-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1529396410205, elapsed time: 17
INFO  | 2018-06-19 15:20:10 | [pool-10-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1529396410233
